joint,model,detection_rate,n_detected,n_total
Left Shoulder,MediaPipe,100.0,118305,118305
Left Shoulder,MoveNet,99.69528665001013,118111,118472
Left Shoulder,YOLO,99.5860905557343,114525,115001
Right Shoulder,MediaPipe,99.9991547271882,118304,118305
Right Shoulder,MoveNet,99.77040988588021,118200,118472
Right Shoulder,YOLO,99.44174398483491,114359,115001
Left Elbow,MediaPipe,90.3030303030303,106833,118305
Left Elbow,MoveNet,95.11698966844486,112687,118472
Left Elbow,YOLO,99.47130894513961,114393,115001
Right Elbow,MediaPipe,75.30366425763916,89088,118305
Right Elbow,MoveNet,92.59825106354243,109703,118472
Right Elbow,YOLO,87.81749723915445,100991,115001
Left Wrist,MediaPipe,91.95807446853472,108791,118305
Left Wrist,MoveNet,89.55111756364373,106093,118472
Left Wrist,YOLO,99.42870061999461,114344,115001
Right Wrist,MediaPipe,77.03140188495837,91132,118305
Right Wrist,MoveNet,89.4329461813762,105953,118472
Right Wrist,YOLO,90.26356292553977,103804,115001
Left Hip,MediaPipe,99.9890114534466,118292,118305
Left Hip,MoveNet,99.60665811330948,118006,118472
Left Hip,YOLO,99.68522012852063,114639,115001
Right Hip,MediaPipe,99.9898567262584,118293,118305
Right Hip,MoveNet,99.72145317036937,118142,118472
Right Hip,YOLO,99.55043869183746,114484,115001
Left Knee,MediaPipe,98.23760618739698,116220,118305
Left Knee,MoveNet,99.13566074684313,117448,118472
Left Knee,YOLO,98.89566177685411,113731,115001
Right Knee,MediaPipe,86.27784117323866,102071,118305
Right Knee,MoveNet,99.30532108852725,117649,118472
Right Knee,YOLO,99.01826940635299,113872,115001
Left Ankle,MediaPipe,98.85972697688179,116956,118305
Left Ankle,MoveNet,98.1117901276251,116235,118472
Left Ankle,YOLO,98.81566247250024,113639,115001
Right Ankle,MediaPipe,92.38155614724653,109292,118305
Right Ankle,MoveNet,98.31774596529138,116479,118472
Right Ankle,YOLO,98.82783627968452,113653,115001
