model,joint,rotation_bin,mean,std
MediaPipe full,left_ankle,0-30,19.85,45.21
MediaPipe full,left_ankle,30-60,14.12,23.69
MediaPipe full,left_ankle,60-90,18.87,33.12
MediaPipe full,left_elbow,0-30,12.51,34.5
MediaPipe full,left_elbow,30-60,12.4,24.47
MediaPipe full,left_elbow,60-90,16.16,20.99
MediaPipe full,left_hip,0-30,21.15,34.31
MediaPipe full,left_hip,30-60,19.11,22.34
MediaPipe full,left_hip,60-90,17.61,14.76
MediaPipe full,left_knee,0-30,12.8,37.92
MediaPipe full,left_knee,30-60,9.92,21.73
MediaPipe full,left_knee,60-90,12.01,22.94
MediaPipe full,left_shoulder,0-30,9.42,32.63
MediaPipe full,left_shoulder,30-60,9.59,22.56
MediaPipe full,left_shoulder,60-90,10.82,15.64
MediaPipe full,left_wrist,0-30,13.91,33.92
MediaPipe full,left_wrist,30-60,13.53,27.74
MediaPipe full,left_wrist,60-90,19.31,29.15
MediaPipe full,right_ankle,0-30,17.48,41.65
MediaPipe full,right_ankle,30-60,14.02,19.48
MediaPipe full,right_ankle,60-90,20.94,34.63
MediaPipe full,right_elbow,0-30,11.81,22.93
MediaPipe full,right_elbow,30-60,11.09,17.61
MediaPipe full,right_elbow,60-90,21.66,21.09
MediaPipe full,right_hip,0-30,20.56,30.5
MediaPipe full,right_hip,30-60,17.63,20.25
MediaPipe full,right_hip,60-90,15.25,13.78
MediaPipe full,right_knee,0-30,13.9,32.89
MediaPipe full,right_knee,30-60,10.06,17.62
MediaPipe full,right_knee,60-90,13.1,23.13
MediaPipe full,right_shoulder,0-30,9.03,25.61
MediaPipe full,right_shoulder,30-60,8.12,18.65
MediaPipe full,right_shoulder,60-90,13.27,14.06
MediaPipe full,right_wrist,0-30,12.86,23.22
MediaPipe full,right_wrist,30-60,11.29,18.05
MediaPipe full,right_wrist,60-90,26.59,32.37
MoveNet multipose,left_ankle,0-30,16.25,41.68
MoveNet multipose,left_ankle,30-60,16.28,39.82
MoveNet multipose,left_ankle,60-90,14.66,23.36
MoveNet multipose,left_elbow,0-30,15.6,45.55
MoveNet multipose,left_elbow,30-60,15.34,42.13
MoveNet multipose,left_elbow,60-90,17.65,22.42
MoveNet multipose,left_hip,0-30,16.62,43.29
MoveNet multipose,left_hip,30-60,15.78,38.43
MoveNet multipose,left_hip,60-90,12.44,18.06
MoveNet multipose,left_knee,0-30,11.92,43.1
MoveNet multipose,left_knee,30-60,12.48,39.74
MoveNet multipose,left_knee,60-90,10.19,20.15
MoveNet multipose,left_shoulder,0-30,12.46,45.78
MoveNet multipose,left_shoulder,30-60,13.01,42.64
MoveNet multipose,left_shoulder,60-90,12.0,18.49
MoveNet multipose,left_wrist,0-30,17.57,41.33
MoveNet multipose,left_wrist,30-60,18.04,40.83
MoveNet multipose,left_wrist,60-90,22.09,27.96
MoveNet multipose,right_ankle,0-30,12.07,32.14
MoveNet multipose,right_ankle,30-60,13.92,31.32
MoveNet multipose,right_ankle,60-90,15.68,23.27
MoveNet multipose,right_elbow,0-30,11.76,28.38
MoveNet multipose,right_elbow,30-60,12.45,25.26
MoveNet multipose,right_elbow,60-90,22.06,21.7
MoveNet multipose,right_hip,0-30,15.59,36.22
MoveNet multipose,right_hip,30-60,14.28,30.85
MoveNet multipose,right_hip,60-90,10.11,15.92
MoveNet multipose,right_knee,0-30,11.16,33.24
MoveNet multipose,right_knee,30-60,10.97,29.76
MoveNet multipose,right_knee,60-90,8.96,17.85
MoveNet multipose,right_shoulder,0-30,12.39,34.14
MoveNet multipose,right_shoulder,30-60,12.33,30.78
MoveNet multipose,right_shoulder,60-90,14.89,16.02
MoveNet multipose,right_wrist,0-30,14.24,27.65
MoveNet multipose,right_wrist,30-60,15.05,27.02
MoveNet multipose,right_wrist,60-90,28.38,31.98
YOLOv8-Pose n,left_ankle,0-30,19.39,62.46
YOLOv8-Pose n,left_ankle,30-60,18.96,47.81
YOLOv8-Pose n,left_ankle,60-90,15.93,28.76
YOLOv8-Pose n,left_elbow,0-30,19.76,66.98
YOLOv8-Pose n,left_elbow,30-60,16.11,49.49
YOLOv8-Pose n,left_elbow,60-90,16.94,24.63
YOLOv8-Pose n,left_hip,0-30,24.56,63.12
YOLOv8-Pose n,left_hip,30-60,21.05,46.27
YOLOv8-Pose n,left_hip,60-90,15.45,22.29
YOLOv8-Pose n,left_knee,0-30,16.95,63.72
YOLOv8-Pose n,left_knee,30-60,16.36,49.13
YOLOv8-Pose n,left_knee,60-90,11.28,25.19
YOLOv8-Pose n,left_shoulder,0-30,17.71,67.33
YOLOv8-Pose n,left_shoulder,30-60,13.93,50.56
YOLOv8-Pose n,left_shoulder,60-90,11.7,22.04
YOLOv8-Pose n,left_wrist,0-30,21.57,59.53
YOLOv8-Pose n,left_wrist,30-60,17.9,45.35
YOLOv8-Pose n,left_wrist,60-90,21.73,30.69
YOLOv8-Pose n,right_ankle,0-30,15.98,51.25
YOLOv8-Pose n,right_ankle,30-60,15.9,38.82
YOLOv8-Pose n,right_ankle,60-90,17.0,28.58
YOLOv8-Pose n,right_elbow,0-30,16.2,45.47
YOLOv8-Pose n,right_elbow,30-60,13.56,30.08
YOLOv8-Pose n,right_elbow,60-90,24.44,23.7
YOLOv8-Pose n,right_hip,0-30,22.95,54.68
YOLOv8-Pose n,right_hip,30-60,19.39,38.5
YOLOv8-Pose n,right_hip,60-90,14.47,20.2
YOLOv8-Pose n,right_knee,0-30,16.92,52.56
YOLOv8-Pose n,right_knee,30-60,14.82,38.82
YOLOv8-Pose n,right_knee,60-90,12.67,23.0
YOLOv8-Pose n,right_shoulder,0-30,15.39,52.81
YOLOv8-Pose n,right_shoulder,30-60,12.95,37.66
YOLOv8-Pose n,right_shoulder,60-90,15.67,19.14
YOLOv8-Pose n,right_wrist,0-30,18.26,41.55
YOLOv8-Pose n,right_wrist,30-60,15.7,29.56
YOLOv8-Pose n,right_wrist,60-90,35.37,39.84
