model,joint,n_samples,mean,median,std
MediaPipe,left_shoulder,118305,10.047385828263938,7.249008078060084,24.844131558560292
MediaPipe,right_shoulder,118304,10.673502630206155,7.634750376663322,20.260943859716114
MediaPipe,left_elbow,106833,12.119321896494545,8.813811252745444,18.919695422117414
MediaPipe,right_elbow,89088,12.81905019451271,9.45842617110286,20.386259248836033
MediaPipe,left_wrist,108791,14.13200445113723,9.477392051571336,23.569781572172957
MediaPipe,right_wrist,91132,13.119412690943328,9.942012191783384,21.15344497342277
MediaPipe,left_hip,118292,19.232633187975743,17.215104756367875,25.161814081988418
MediaPipe,right_hip,118293,17.73993779863757,15.820830378410506,22.683510527234056
MediaPipe,left_knee,116220,10.499273594515888,6.880177146247558,21.524897364627254
MediaPipe,right_knee,102071,12.425221663497549,8.007776709133267,23.838387962734434
MediaPipe,left_ankle,116956,16.306151006772648,11.738104415093442,27.54288139426292
MediaPipe,right_ankle,109292,16.724494280368663,11.61706693526287,29.565414824735978
MoveNet,left_shoulder,118111,12.329271069152647,8.379190758122565,35.643438904725194
MoveNet,right_shoulder,118200,13.695425122407647,10.027275995719684,28.65913284305615
MoveNet,left_elbow,112687,14.517464040733769,9.970678589164212,29.082469436302187
MoveNet,right_elbow,109703,14.59650747453425,9.625609493960209,24.212668119676167
MoveNet,left_wrist,106093,15.746515727406555,11.550956319367003,26.27171335015132
MoveNet,right_wrist,105953,17.480912518253405,11.165226915833985,28.348535115730364
MoveNet,left_hip,118006,14.23738723402695,11.15432954570638,30.706018537221897
MoveNet,right_hip,118142,13.071838097843465,9.943964352510738,28.568830972386724
MoveNet,left_knee,117448,9.901957736134865,6.36150627972731,25.80669824345836
MoveNet,right_knee,117649,9.570636702116454,6.193281125034705,23.80320103926491
MoveNet,left_ankle,116235,13.012096140783742,10.841785756599007,18.696614620169846
MoveNet,right_ankle,116479,11.922837671226903,9.826192397398872,17.085599906169495
YOLO,left_shoulder,114525,12.90489217987162,8.031718975992769,41.222854708575106
YOLO,right_shoulder,114359,13.254813155159448,9.724878229148128,27.791118931267064
YOLO,left_elbow,114393,16.019348077803798,9.48514283481822,40.3044936834113
YOLO,right_elbow,100991,16.155586923473628,10.470370030610612,27.644165344745765
YOLO,left_wrist,114344,19.37394535393523,11.863104396657446,39.950581212215454
YOLO,right_wrist,103804,21.07667955736784,12.605473928773975,35.07588615496358
YOLO,left_hip,114639,18.96699933849825,14.71406532493256,41.15119551138319
YOLO,right_hip,114484,17.19714908621603,13.949914976063582,31.922392269621593
YOLO,left_knee,113731,10.04276263767191,6.585229622425078,20.263183076939914
YOLO,right_knee,113872,11.55472649652963,8.004364212513806,20.611637979282573
YOLO,left_ankle,113639,13.34796165195721,10.066604074311739,20.677843479100428
YOLO,right_ankle,113653,12.869354104255905,9.46689444590155,20.678352185203646
