model,rotation_bucket,rotation_mid,n_frames,mean,median,std,p25,p75
MediaPipe,0-10,5,15839,14.54562000643559,10.10903836366346,33.04283035216479,8.969033976769973,11.260566671284842
MediaPipe,10-20,15,13791,17.523964237542188,10.362597286287492,38.29421827036861,8.916962814410514,12.428622969306923
MediaPipe,20-30,25,17065,11.340163309836267,10.592729711161008,12.800212094009146,9.229350525017873,11.924129134821007
MediaPipe,30-40,35,9487,10.542868088943367,10.625393741715659,8.86235928854359,8.724597778655465,11.754615029772093
MediaPipe,40-50,45,2219,16.765716506731685,11.149205907062303,37.3569086001017,9.386262035311036,13.379699447279652
MediaPipe,50-60,55,9507,12.990673022196214,10.790548932615694,19.20471964530453,9.132696625048762,13.015854392808073
MediaPipe,60-70,65,17834,16.031128316336122,12.480397307057356,20.659751744396125,10.719656617016604,14.538922160837213
MediaPipe,70-80,75,16398,16.403367117377275,12.395425171633264,19.287238819710133,10.486227829993561,15.359997817460311
MediaPipe,80-90,85,16165,14.535333176431443,13.340258291438829,9.418781555483585,11.34412534729265,15.676487241726273
MoveNet,0-10,5,15914,17.421573395987156,9.386198074504593,50.907932923489554,8.201127535778062,10.747156556693783
MoveNet,10-20,15,13832,17.938637313455168,8.451879667108944,52.00588186407615,7.149263379880961,10.692189767215234
MoveNet,20-30,25,17071,11.492390245794384,10.050434546896003,20.212674066148878,8.55343852960848,11.47610678521232
MoveNet,30-40,35,9488,11.249024276541707,9.932871721140582,21.744741597948057,8.32669721710839,11.150765474462416
MoveNet,40-50,45,2219,28.68113530291511,11.189353604756038,73.03063516171235,9.447185775997749,13.984088994884752
MoveNet,50-60,55,9507,13.900722877715495,10.073382892682483,30.44523372154828,8.313302720841284,12.101493603367565
MoveNet,60-70,65,17862,13.904681483341703,10.875083679670249,23.828899439860542,9.196142204195203,12.77677108493328
MoveNet,70-80,75,16412,14.136559159505191,12.159249370434143,12.318515818254323,10.028867650539107,15.325079119829994
MoveNet,80-90,85,16167,15.064114159098255,13.802795499877293,9.527405251752096,10.93511267987417,16.834113238910028
YOLO,0-10,5,15334,25.272710745722716,9.59483158137634,78.9861465797111,8.445979926140856,10.999080809129913
YOLO,10-20,15,13407,20.865731662697183,9.321131094897657,60.0349293200221,8.129045759004729,11.88529750043696
YOLO,20-30,25,16914,12.825692186908762,10.817278733091207,23.536085776335433,9.417000489032052,12.22339473191846
YOLO,30-40,35,9460,12.722816824580235,10.783569354145762,25.754011190678273,9.08346374334406,12.393538285613491
YOLO,40-50,45,2124,32.49371652156641,14.23331852094378,77.0022921848017,11.40804983426916,17.934084901083395
YOLO,50-60,55,8154,16.75360954898377,11.100017587367887,39.43684533361142,9.295817010762253,13.823395103299928
YOLO,60-70,65,17025,16.108630693072598,12.090431325788488,30.118000841969376,10.584131706599495,14.156870061302106
YOLO,70-80,75,16417,16.49963405362039,13.066850671634361,13.494797829494349,10.708226856379202,17.481712420039273
YOLO,80-90,85,16166,17.03230175923175,14.868656003576945,10.425639329406568,11.6488238411628,19.722051194325687
