model,rotation_bin,mean_nmpjpe,std_nmpjpe,n_frames,mean_confidence
MediaPipe full,0-15,15.59,35.5,24312,0.97
MediaPipe full,15-30,12.45,20.62,22382,0.95
MediaPipe full,30-45,11.01,13.04,10602,0.95
MediaPipe full,45-60,13.46,23.17,10611,0.9
MediaPipe full,60-75,16.07,20.71,24589,0.87
MediaPipe full,75-90,15.1,12.91,25808,0.74
MoveNet multipose,0-15,14.75,42.44,24214,0.72
MoveNet multipose,15-30,11.42,22.86,22350,0.75
MoveNet multipose,30-45,11.28,20.61,10592,0.75
MoveNet multipose,45-60,13.82,34.91,10576,0.65
MoveNet multipose,60-75,12.52,18.49,24602,0.65
MoveNet multipose,75-90,12.18,9.96,25787,0.59
YOLOv8-Pose n,0-15,22.65,69.34,23500,0.96
YOLOv8-Pose n,15-30,14.32,33.7,22085,0.97
YOLOv8-Pose n,30-45,13.73,29.16,10544,0.97
YOLOv8-Pose n,45-60,18.81,46.17,9177,0.95
YOLOv8-Pose n,60-75,15.95,25.74,23787,0.94
YOLOv8-Pose n,75-90,15.68,11.43,25815,0.87
