exercise,subject_id,camera,model,num_frames,mean_nmpjpe,std_nmpjpe,median_nmpjpe,frames_over_30,frames_over_50,skip_rate
Ex1,PM_000,c17,MediaPipe full,433,15.881157825988176,15.340604810709488,10.594146089013202,47,18,0.039645881447267134
Ex1,PM_000,c17,MoveNet multipose,435,7.445454158545731,1.1229121011306789,7.462566304596262,0,0,0.02260536398467434
Ex1,PM_000,c17,YOLOv8-Pose n,435,8.359126384941352,0.9960127530081071,8.459521489262672,0,0,0.0
Ex1,PM_000,c18,MediaPipe full,435,16.492272630820747,5.683042438171062,14.183397190562212,17,0,0.27931034482758627
Ex1,PM_000,c18,MoveNet multipose,435,10.805293811376407,2.867793728557703,10.37439212474233,0,0,0.36053639846743296
Ex1,PM_000,c18,YOLOv8-Pose n,435,13.925858257995992,4.731651701713242,12.211991647875568,8,0,0.1659003831417624
Ex1,PM_001,c17,MediaPipe full,1006,10.473707556835542,2.919338718103911,10.387647625895468,2,1,0.00024850894632206757
Ex1,PM_001,c17,MoveNet multipose,1006,7.480224518500602,0.6300718631406929,7.544090749461045,0,0,0.00853214049039099
Ex1,PM_001,c17,YOLOv8-Pose n,1006,8.34167149749547,1.1040272660650157,8.265952326091995,0,0,0.0
Ex1,PM_001,c18,MediaPipe full,1006,14.77600696474639,4.84027145574175,13.262417765943512,32,1,0.31204440026507624
Ex1,PM_001,c18,MoveNet multipose,1006,10.587716676876036,1.7161351170419237,10.595051898238449,0,0,0.37185222001325385
Ex1,PM_001,c18,YOLOv8-Pose n,1006,11.60563158470956,3.4182661391182396,10.730815263087443,7,0,0.16666666666666657
Ex1,PM_002,c17,MediaPipe full,666,14.804880480302332,19.5647280514367,13.111151183427797,6,3,0.059684684684684686
Ex1,PM_002,c17,MoveNet multipose,666,10.86868653947634,1.3943650712059494,10.760959716988708,0,0,0.13363363363363365
Ex1,PM_002,c17,YOLOv8-Pose n,663,13.377872190641433,28.403917866472106,11.371280630104067,4,4,0.005404725992961287
Ex1,PM_002,c18,MediaPipe full,666,10.070260667940328,0.8338049033185524,10.083419725993776,0,0,0.00800800800800801
Ex1,PM_002,c18,MoveNet multipose,666,9.288742243098229,0.6366953388892856,9.318243149025665,0,0,0.0790790790790791
Ex1,PM_002,c18,YOLOv8-Pose n,666,9.52155333236473,0.7326467041191231,9.481535472018361,0,0,0.0007507507507507506
Ex1,PM_012,c17,MediaPipe full,800,11.45478416726075,28.580839335674387,8.755184075596272,6,6,0.008333333333333335
Ex1,PM_012,c17,MoveNet multipose,773,7.073542419324084,0.7775764375192603,7.010246516948359,0,0,0.00733074601121173
Ex1,PM_012,c17,YOLOv8-Pose n,799,31.789223074674585,85.88865827648047,8.321588184166371,56,56,0.062265331664580724
Ex1,PM_012,c18,MediaPipe full,801,11.768899007798577,5.361019850412047,9.964638317964935,16,0,0.30024968789013734
Ex1,PM_012,c18,MoveNet multipose,801,8.096803070028816,1.1694353075604802,8.080161278361288,0,0,0.3124219725343322
Ex1,PM_012,c18,YOLOv8-Pose n,801,8.520302339642136,1.3441088336517752,8.373017757152425,0,0,0.162609238451935
Ex1,PM_016,c17,MediaPipe full,678,11.14592658855413,3.8143034520876102,10.766886351444136,7,2,0.10742379547689282
Ex1,PM_016,c17,MoveNet multipose,679,8.356970484786038,1.0830774986883223,8.18405187396318,0,0,0.14199803632793323
Ex1,PM_016,c17,YOLOv8-Pose n,678,11.835730634438017,21.039855713703908,9.88022476365077,3,3,0.009709931170108162
Ex1,PM_016,c18,MediaPipe full,681,7.124667357988837,0.6367418411214584,7.0244919504741965,0,0,0.017131669114047975
Ex1,PM_016,c18,MoveNet multipose,681,7.274121796908108,0.6955331954068847,7.144998537480933,0,0,0.01443954968184044
Ex1,PM_016,c18,YOLOv8-Pose n,681,7.281600904413364,0.5524927646769642,7.2752467796892475,0,0,0.0
Ex1,PM_023,c17,MediaPipe full,512,39.21550598431499,70.02957679439531,12.514301670676932,85,77,0.09749348958333334
Ex1,PM_023,c17,MoveNet multipose,546,23.191307482402134,63.19623375728352,8.742662601288488,30,30,0.11446886446886446
Ex1,PM_023,c17,YOLOv8-Pose n,569,41.325277291471856,95.76861388908014,9.609410972151826,57,57,0.06429408318687756
Ex1,PM_023,c18,MediaPipe full,570,18.349716313827695,7.405189975190804,15.430409010854845,63,1,0.2883040935672515
Ex1,PM_023,c18,MoveNet multipose,570,13.15794470254276,2.524754014878679,12.907514455112409,0,0,0.29590643274853806
Ex1,PM_023,c18,YOLOv8-Pose n,570,13.61112629830144,2.6785137856745966,13.017284042312198,0,0,0.150438596491228
Ex1,PM_024,c17,MediaPipe full,692,24.215118488944693,27.191182143657237,16.41687197058067,86,45,0.16907514450867053
Ex1,PM_024,c17,MoveNet multipose,702,11.70000657888999,10.408269988823783,11.392146378015672,1,1,0.1544396961063628
Ex1,PM_024,c17,YOLOv8-Pose n,702,15.59477579388064,7.091012874529352,13.51899090694193,50,0,0.008309591642924977
Ex1,PM_024,c18,MediaPipe full,702,12.089816317374357,4.7685222523833914,11.792713053932607,1,1,0.006172839506172842
Ex1,PM_024,c18,MoveNet multipose,702,10.441499967775762,3.0844281153668676,10.251845828901702,3,2,0.11301044634377971
Ex1,PM_024,c18,YOLOv8-Pose n,702,10.984022955187783,1.0919981163195862,11.003266372615599,0,0,0.0
Ex1,PM_032,c17,MediaPipe full,984,6.079745677709056,1.086359907995201,5.964815498491015,0,0,0.057588075880758816
Ex1,PM_032,c17,MoveNet multipose,984,7.891615553167176,18.759546402444204,6.756818982512492,3,3,0.05360772357723577
Ex1,PM_032,c17,YOLOv8-Pose n,904,8.270875650188408,29.47850265725035,5.9959673390093435,7,7,0.006452802359882007
Ex1,PM_032,c18,MediaPipe full,984,8.990371037217654,5.465636220970438,6.339227039499589,14,0,0.13499322493224933
Ex1,PM_032,c18,MoveNet multipose,984,7.994995495955858,1.5639027101109897,7.637119274222679,0,0,0.1606537940379404
Ex1,PM_032,c18,YOLOv8-Pose n,984,7.485466533424973,2.099263554184354,6.638501134773099,0,0,0.07655826558265579
