exercise,subject_id,camera,model,num_frames,mean_nmpjpe,std_nmpjpe,median_nmpjpe,frames_over_30,frames_over_50,skip_rate,video_id,category
Ex1,PM_000,c17,MediaPipe full,433,15.881157825988176,15.340604810709488,10.594146089013202,47,18,0.0396458814472671,PM_000-c17,clean
Ex1,PM_000,c17,MoveNet multipose,435,7.445454158545731,1.1229121011306789,7.462566304596262,0,0,0.0226053639846743,PM_000-c17,clean
Ex1,PM_000,c17,YOLOv8-Pose n,435,8.359126384941352,0.9960127530081072,8.459521489262672,0,0,0.0,PM_000-c17,clean
Ex1,PM_000,c18,MediaPipe full,435,16.492272630820747,5.683042438171062,14.183397190562212,17,0,0.2793103448275862,PM_000-c18,clean
Ex1,PM_000,c18,MoveNet multipose,435,10.805293811376409,2.867793728557703,10.37439212474233,0,0,0.3605363984674329,PM_000-c18,clean
Ex1,PM_000,c18,YOLOv8-Pose n,435,13.925858257995992,4.731651701713242,12.211991647875568,8,0,0.1659003831417624,PM_000-c18,clean
Ex1,PM_001,c17,MediaPipe full,1006,10.473707556835542,2.919338718103911,10.387647625895468,2,1,0.000248508946322,PM_001-c17,clean
Ex1,PM_001,c17,MoveNet multipose,1006,7.480224518500602,0.6300718631406929,7.544090749461045,0,0,0.0085321404903909,PM_001-c17,clean
Ex1,PM_001,c17,YOLOv8-Pose n,1006,8.34167149749547,1.1040272660650157,8.265952326091995,0,0,0.0,PM_001-c17,clean
Ex1,PM_001,c18,MediaPipe full,1006,14.77600696474639,4.84027145574175,13.262417765943512,32,1,0.3120444002650762,PM_001-c18,clean
Ex1,PM_001,c18,MoveNet multipose,1006,10.587716676876036,1.7161351170419237,10.595051898238449,0,0,0.3718522200132538,PM_001-c18,clean
Ex1,PM_001,c18,YOLOv8-Pose n,1006,11.60563158470956,3.41826613911824,10.730815263087443,7,0,0.1666666666666665,PM_001-c18,clean
Ex1,PM_002,c17,MediaPipe full,666,14.804880480302332,19.5647280514367,13.111151183427795,6,3,0.0596846846846846,PM_002-c17,clean
Ex1,PM_002,c17,MoveNet multipose,666,10.86868653947634,1.3943650712059494,10.760959716988708,0,0,0.1336336336336336,PM_002-c17,clean
Ex1,PM_002,c17,YOLOv8-Pose n,663,13.377872190641432,28.403917866472103,11.371280630104067,4,4,0.0054047259929612,PM_002-c17,clean
Ex1,PM_002,c18,MediaPipe full,666,10.070260667940328,0.8338049033185524,10.083419725993776,0,0,0.008008008008008,PM_002-c18,clean
Ex1,PM_002,c18,MoveNet multipose,666,9.288742243098229,0.6366953388892856,9.318243149025664,0,0,0.0790790790790791,PM_002-c18,clean
Ex1,PM_002,c18,YOLOv8-Pose n,666,9.52155333236473,0.7326467041191231,9.48153547201836,0,0,0.0007507507507507,PM_002-c18,clean
Ex1,PM_012,c17,MediaPipe full,800,11.45478416726075,28.580839335674387,8.755184075596272,6,6,0.0083333333333333,PM_012-c17,clean
Ex1,PM_012,c17,MoveNet multipose,773,7.073542419324084,0.7775764375192603,7.010246516948359,0,0,0.0073307460112117,PM_012-c17,clean
Ex1,PM_012,c17,YOLOv8-Pose n,799,31.789223074674585,85.88865827648047,8.321588184166371,56,56,0.0622653316645807,PM_012-c17,clean
Ex1,PM_012,c18,MediaPipe full,801,11.768899007798575,5.361019850412047,9.964638317964935,16,0,0.3002496878901373,PM_012-c18,clean
Ex1,PM_012,c18,MoveNet multipose,801,8.096803070028816,1.1694353075604802,8.080161278361288,0,0,0.3124219725343322,PM_012-c18,clean
Ex1,PM_012,c18,YOLOv8-Pose n,801,8.520302339642136,1.3441088336517752,8.373017757152425,0,0,0.162609238451935,PM_012-c18,clean
Ex1,PM_016,c17,MediaPipe full,678,11.14592658855413,3.81430345208761,10.766886351444136,7,2,0.1074237954768928,PM_016-c17,clean
Ex1,PM_016,c17,MoveNet multipose,679,8.356970484786038,1.0830774986883225,8.18405187396318,0,0,0.1419980363279332,PM_016-c17,clean
Ex1,PM_016,c17,YOLOv8-Pose n,678,11.835730634438017,21.039855713703908,9.88022476365077,3,3,0.0097099311701081,PM_016-c17,clean
Ex1,PM_016,c18,MediaPipe full,681,7.124667357988837,0.6367418411214584,7.0244919504741965,0,0,0.0171316691140479,PM_016-c18,clean
Ex1,PM_016,c18,MoveNet multipose,681,7.274121796908108,0.6955331954068847,7.144998537480933,0,0,0.0144395496818404,PM_016-c18,clean
Ex1,PM_016,c18,YOLOv8-Pose n,681,7.281600904413364,0.5524927646769642,7.275246779689247,0,0,0.0,PM_016-c18,clean
Ex1,PM_023,c17,MediaPipe full,512,39.21550598431499,70.02957679439531,12.514301670676932,85,77,0.0974934895833333,PM_023-c17,clean
Ex1,PM_023,c17,MoveNet multipose,546,23.19130748240213,63.19623375728352,8.742662601288488,30,30,0.1144688644688644,PM_023-c17,clean
Ex1,PM_023,c17,YOLOv8-Pose n,569,41.325277291471856,95.76861388908014,9.609410972151826,57,57,0.0642940831868775,PM_023-c17,clean
Ex1,PM_023,c18,MediaPipe full,570,18.34971631382769,7.405189975190804,15.430409010854843,63,1,0.2883040935672515,PM_023-c18,clean
Ex1,PM_023,c18,MoveNet multipose,570,13.15794470254276,2.524754014878679,12.907514455112407,0,0,0.295906432748538,PM_023-c18,clean
Ex1,PM_023,c18,YOLOv8-Pose n,570,13.61112629830144,2.6785137856745966,13.017284042312198,0,0,0.150438596491228,PM_023-c18,clean
Ex1,PM_024,c17,MediaPipe full,692,24.215118488944693,27.19118214365724,16.41687197058067,86,45,0.1690751445086705,PM_024-c17,clean
Ex1,PM_024,c17,MoveNet multipose,702,11.70000657888999,10.408269988823784,11.392146378015672,1,1,0.1544396961063628,PM_024-c17,clean
Ex1,PM_024,c17,YOLOv8-Pose n,702,15.59477579388064,7.091012874529352,13.51899090694193,50,0,0.0083095916429249,PM_024-c17,clean
Ex1,PM_024,c18,MediaPipe full,702,12.089816317374355,4.768522252383392,11.792713053932609,1,1,0.0061728395061728,PM_024-c18,clean
Ex1,PM_024,c18,MoveNet multipose,702,10.441499967775762,3.084428115366868,10.251845828901702,3,2,0.1130104463437797,PM_024-c18,clean
Ex1,PM_024,c18,YOLOv8-Pose n,702,10.984022955187784,1.0919981163195862,11.0032663726156,0,0,0.0,PM_024-c18,clean
Ex1,PM_032,c17,MediaPipe full,984,6.079745677709056,1.086359907995201,5.964815498491015,0,0,0.0575880758807588,PM_032-c17,clean
Ex1,PM_032,c17,MoveNet multipose,984,7.891615553167176,18.759546402444204,6.756818982512492,3,3,0.0536077235772357,PM_032-c17,clean
Ex1,PM_032,c17,YOLOv8-Pose n,904,8.270875650188408,29.47850265725035,5.995967339009344,7,7,0.006452802359882,PM_032-c17,clean
Ex1,PM_032,c18,MediaPipe full,984,8.990371037217654,5.465636220970438,6.339227039499589,14,0,0.1349932249322493,PM_032-c18,clean
Ex1,PM_032,c18,MoveNet multipose,984,7.994995495955858,1.5639027101109897,7.637119274222679,0,0,0.1606537940379404,PM_032-c18,clean
Ex1,PM_032,c18,YOLOv8-Pose n,984,7.485466533424973,2.099263554184354,6.638501134773099,0,0,0.0765582655826557,PM_032-c18,clean
Ex1,PM_039,c17,MediaPipe full,1268,9.8770785388202,1.0802728173115446,9.717233760599688,0,0,0.021030494216614,PM_039-c17,clean
Ex1,PM_039,c17,MoveNet multipose,1267,8.735286683933298,0.7864742427648858,8.663887117443995,0,0,0.0464351486450934,PM_039-c17,clean
Ex1,PM_039,c17,YOLOv8-Pose n,1252,19.58624429201545,66.66074896491494,9.496542342788675,28,28,0.0212326943556975,PM_039-c17,clean
Ex1,PM_039,c18,MediaPipe full,1268,12.251201792143409,1.8873305175019215,12.03856813346217,3,0,0.193217665615142,PM_039-c18,clean
Ex1,PM_039,c18,MoveNet multipose,1268,11.94396151875437,1.566317619560312,11.677207566415486,0,0,0.1679153522607781,PM_039-c18,clean
Ex1,PM_039,c18,YOLOv8-Pose n,1268,12.78625937643078,2.5318259381717594,12.349569345829993,3,0,0.081098843322818,PM_039-c18,clean
Ex1,PM_101,c17,MediaPipe full,436,13.500923583211335,1.8429590126778688,13.287386059344826,1,0,0.1561544342507644,PM_101-c17,clean
Ex1,PM_101,c17,MoveNet multipose,436,10.525155233540524,1.3266377049179987,10.774932988640364,0,0,0.1299694189602446,PM_101-c17,clean
Ex1,PM_101,c17,YOLOv8-Pose n,185,11.766916685240671,1.976831139918415,11.4634858732965,1,0,0.0036036036036036,PM_101-c17,clean
Ex1,PM_101,c18,MediaPipe full,436,11.985492254648308,0.4659622610418559,11.937623174665582,0,0,0.0005733944954128,PM_101-c18,clean
Ex1,PM_101,c18,MoveNet multipose,436,12.768899004813989,0.6947815121923415,12.749381726591915,0,0,0.0047782874617737,PM_101-c18,clean
Ex1,PM_101,c18,YOLOv8-Pose n,436,12.099567414639491,0.5505655762069405,12.078230323898532,0,0,0.0,PM_101-c18,clean
Ex1,PM_109,c17,MediaPipe full,1742,10.741792014473669,1.494271428711606,10.62221874027188,1,0,0.0302334481438959,PM_109-c17,clean
Ex1,PM_109,c17,MoveNet multipose,1741,10.885734193307789,24.949412750820866,9.505188906264667,6,6,0.0537047673750718,PM_109-c17,clean
Ex1,PM_109,c17,YOLOv8-Pose n,1008,44.40680107615104,128.84420560845885,10.38331180609195,67,67,0.0543981481481481,PM_109-c17,clean
Ex1,PM_109,c18,MediaPipe full,1742,13.445661157339744,4.999035877240291,12.084936218633356,66,0,0.1611174894756984,PM_109-c18,clean
Ex1,PM_109,c18,MoveNet multipose,1742,10.572621041963684,1.5907772833107527,10.097024859628895,0,0,0.1782433983926521,PM_109-c18,clean
Ex1,PM_109,c18,YOLOv8-Pose n,1742,10.3769474760535,2.2474395493322543,9.977293739340151,0,0,0.0697474167623421,PM_109-c18,clean
Ex1,PM_114,c17,MediaPipe full,1723,12.478305983651673,7.802760781460134,11.57181578905031,1,1,0.0631166569936157,PM_114-c17,clean
Ex1,PM_114,c17,MoveNet multipose,1722,12.614152581291163,27.00492927439701,10.668533709964116,11,11,0.0572493224932249,PM_114-c17,clean
Ex1,PM_114,c17,YOLOv8-Pose n,1717,28.644914325467184,86.06160001504576,11.042824242123764,67,67,0.030430984274898,PM_114-c17,clean
Ex1,PM_114,c18,MediaPipe full,1723,14.729935031756613,1.8133145232244052,14.879547932922192,2,0,0.1903172760688721,PM_114-c18,clean
Ex1,PM_114,c18,MoveNet multipose,1723,13.580630310749603,1.997194802037918,13.551811249869605,0,0,0.199023021861095,PM_114-c18,clean
Ex1,PM_114,c18,YOLOv8-Pose n,1723,13.67388224464578,1.652575259672406,13.669000498624992,0,0,0.0898142774230992,PM_114-c18,clean
Ex1,PM_122,c17,MediaPipe full,1247,10.679191962133604,3.4570574204863185,9.73870187927004,5,1,0.0783881315156375,PM_122-c17,clean
Ex1,PM_122,c17,MoveNet multipose,1247,8.914386958908455,2.234803923642056,8.900367722421215,1,1,0.0914194065757818,PM_122-c17,clean
Ex1,PM_122,c17,YOLOv8-Pose n,972,13.14922651183295,40.537523971040365,9.585760028899506,7,7,0.0057441700960219,PM_122-c17,clean
Ex1,PM_122,c18,MediaPipe full,1247,13.36434071685508,4.391842451432221,12.316374086750656,28,1,0.1663993584603047,PM_122-c18,clean
Ex1,PM_122,c18,MoveNet multipose,1247,12.328970726047972,1.929526544724383,11.758839818393747,1,0,0.1642608928094092,PM_122-c18,clean
Ex1,PM_122,c18,YOLOv8-Pose n,1247,11.363158290488956,2.273123965441717,11.18673653639282,1,1,0.0789227479283613,PM_122-c18,clean
Ex2,PM_003,c17,MediaPipe full,1592,17.719056790919073,23.33086677151309,10.01403847681577,130,69,0.0298890284757118,PM_003-c17,clean
Ex2,PM_003,c17,MoveNet multipose,1596,6.311649425170776,0.953340627586264,6.279195221352095,0,0,0.0086675020885547,PM_003-c17,clean
