image_id,model,nmpjpe,n_valid_joints,is_detection_failure,is_outlier,torso_length,n_persons_in_image,is_single_person,error_left_shoulder,error_right_shoulder,error_left_elbow,error_right_elbow,error_left_wrist,error_right_wrist,error_left_hip,error_right_hip,error_left_knee,error_right_knee,error_left_ankle,error_right_ankle
139,MoveNet_SP_Thunder,24.312248308006396,1,False,False,47.762432936357,1,True,24.312248308006396,,,,,,,,,,,
785,MoveNet_SP_Thunder,8.002979852872878,7,False,False,94.86832980505137,1,True,7.170892394803875,,,,,,7.034365311852925,8.827652843627142,8.378821839949998,6.114031030451816,9.126668509617879,9.368427039806498
885,MoveNet_SP_Thunder,264.76662865911493,1,False,True,51.29571132170798,3,False,,,,,,,,,,,,264.76662865911493
1000,MoveNet_SP_Thunder,101.79252185819956,1,False,True,124.16923934694937,11,False,,,,,101.79252185819956,,,,,,,
1268,MoveNet_SP_Thunder,,0,True,False,57.95903725908497,4,False,,,,,,,,,,,,
1490,MoveNet_SP_Thunder,,0,True,False,29.34706118165838,1,True,,,,,,,,,,,,
2006,MoveNet_SP_Thunder,17.106436069261594,2,False,False,32.59601202601324,2,False,,,,,,,,11.381516923954143,22.831355214569047,,,
2153,MoveNet_SP_Thunder,6.536816646459265,2,False,False,53.75872022286245,4,False,,,,,,,,,,5.190923949180058,,7.8827093437384725
2473,MoveNet_SP_Thunder,14.175391213324144,2,False,False,42.0267771783657,2,False,20.34037516699654,8.010407259651748,,,,,,,,,,
2532,MoveNet_SP_Thunder,14.301020420023981,8,False,False,45.09988913511872,1,True,7.686215402076554,10.042805543416588,,,,,22.296586664397523,27.918266043542445,14.527931067140978,15.947817812290577,7.144787673998454,8.843753153328713
2685,MoveNet_SP_Thunder,17.91344822230439,4,False,False,127.78301921616972,5,False,,,1.056306462014874,,,,30.011768581136707,34.621205773899646,,,5.964512072166336,
3156,MoveNet_SP_Thunder,9.505389133677923,5,False,False,202.72210042321484,1,True,3.5590969155509975,2.9960327041026273,1.7948372099230399,,,,,29.374008991547452,,9.802969847265498,,
3934,MoveNet_SP_Thunder,11.84109797189604,3,False,False,82.97590011563598,6,False,,,,,,,11.697629240059387,21.37057877494317,,,,2.4550859006855705
4765,MoveNet_SP_Thunder,17.70835132302823,5,False,False,47.71268175233918,1,True,24.969807575280967,,,,,,10.080110712392411,12.271705159495308,,17.84209660763396,,23.37803656033848
5001,MoveNet_SP_Thunder,0.9227880991428722,3,False,False,125.52788534823647,11,False,1.4488485543331997,,,,0.7140304757258158,0.605485267369601,,,,,,
5060,MoveNet_SP_Thunder,5.542717433349057,6,False,False,83.59575348066431,1,True,1.4063334779619745,0.875809457074553,,,3.932204523740917,6.8203646947739,10.65208981966953,9.569502626873462,,,,
5529,MoveNet_SP_Thunder,6.187664136865925,5,False,False,89.56840960963859,1,True,5.935269221770464,,,,,,5.595174562765619,,2.492944043682298,9.761744910656619,7.153187945454623,
5586,MoveNet_SP_Thunder,13.836408626724909,5,False,False,21.70829334609241,1,True,7.4204345397285945,20.24473329826537,,,,,5.1525727280562155,25.00593634330956,,11.35836622426481,,
6460,MoveNet_SP_Thunder,,0,True,False,27.518175811634027,1,True,,,,,,,,,,,,
6471,MoveNet_SP_Thunder,4.153099406012371,3,False,False,70.50709184188496,8,False,6.736102781275218,,,,,,0.5605711973563249,,5.162624239405572,,,
6954,MoveNet_SP_Thunder,,0,True,False,76.50163396947806,5,False,,,,,,,,,,,,
7088,MoveNet_SP_Thunder,14.555449545965827,4,False,False,69.85162847063768,1,True,,,,,,,6.374017021195495,15.96019093759785,,24.7975274215716,11.09006280349836,
7278,MoveNet_SP_Thunder,,0,True,False,64.92495668077107,1,True,,,,,,,,,,,,
7281,MoveNet_SP_Thunder,22.729098663135087,1,False,False,50.566787519082126,3,False,,22.729098663135087,,,,,,,,,,
7511,MoveNet_SP_Thunder,7.088483597570564,5,False,False,76.05918747922567,1,True,,8.437876286937643,,,,,11.065133043768622,2.268412439237183,10.128576237733846,3.542419980175524,,
7977,MoveNet_SP_Thunder,4.984004851421257,9,False,False,88.32326986700618,1,True,7.55527224890184,,3.8661952958257424,,0.48894886805906734,6.316229693003607,7.537176314267378,8.860918674676862,,2.0298318055902986,2.6795288617396786,5.521941900726839
8211,MoveNet_SP_Thunder,14.013326451773343,3,False,False,38.658763560155414,2,False,11.972761312146263,,,16.53086931606249,,,,13.536348727111275,,,,
8690,MoveNet_SP_Thunder,9.659518582468264,2,False,False,125.90174740645978,3,False,11.730879490627263,7.588157674309266,,,,,,,,,,
9448,MoveNet_SP_Thunder,8.23231488242375,7,False,False,232.88892202077795,1,True,7.5283378666634455,15.426588813958206,4.259773807187566,5.483934115147529,,3.8255265755498273,6.445434671434488,14.656608327025195,,,,
9483,MoveNet_SP_Thunder,4.597536204951651,8,False,False,135.67332088513203,1,True,3.141043863191262,3.3904700481575736,,,1.4920096412344135,,4.892070152493622,4.843635603914017,5.415008019967721,9.515056037372718,4.090996273281884,
9891,MoveNet_SP_Thunder,4.593101586841388,3,False,False,89.8359616189419,2,False,,,,,2.833074189885673,,6.447814405848426,,,,4.498416164790063,
10707,MoveNet_SP_Thunder,12.33451281329789,1,False,False,75.13321502504735,3,False,,12.33451281329789,,,,,,,,,,
10764,MoveNet_SP_Thunder,8.916651031962655,4,False,False,140.80127840328723,1,True,22.620411572415914,,,1.2147111927320484,,,,4.679124290316063,,,,7.152357072386592
11197,MoveNet_SP_Thunder,10.302559790361197,5,False,False,43.660622991432454,3,False,,10.535790872533026,,,,,13.225958673934912,6.422777006218287,,12.68785383711792,,8.640418562001845
11699,MoveNet_SP_Thunder,3.4642085625598753,6,False,False,180.80721777628239,3,False,2.6777277033166635,,1.9968704606917984,1.4396566493724463,5.942605347161531,,2.0362214040805524,6.692169810736261,,,,
12120,MoveNet_SP_Thunder,45.8692742066044,1,False,False,31.48412298286233,2,False,,,,,,,,,,45.8692742066044,,
12280,MoveNet_SP_Thunder,28.257570239956205,3,False,False,39.528470752104745,1,True,16.167255793490177,,,,,,,,,,58.00728813145025,10.598166794928185
12639,MoveNet_SP_Thunder,79.9498130525682,1,False,False,98.50126902735822,7,False,,,,,,,,,,,79.9498130525682,
12670,MoveNet_SP_Thunder,,0,True,False,95.84492683496607,9,False,,,,,,,,,,,,
13177,MoveNet_SP_Thunder,5.1760579748589235,8,False,False,164.58432489152787,1,True,4.769071434049373,,6.667034255501644,,11.50969655384804,3.5542329658636325,2.2881245610244574,,,4.694307868466101,4.250778718397517,3.67521744172062
13201,MoveNet_SP_Thunder,5.304677049090825,6,False,False,114.20267072183557,1,True,8.169475794970811,,7.214723699146794,3.44233713301343,,5.854117585923374,,3.625581631204543,3.521826450285998,,,
13291,MoveNet_SP_Thunder,8.306976184973431,5,False,False,58.60034129593445,4,False,5.772576538195972,,,,,,6.26118231201794,,11.156378948819738,,15.282770732320358,3.0619723935131415
