video_id,model,failure_category,n
PM_000,MediaPipe,Keypoint-Displacement,1
PM_000,MediaPipe,Missing-Detection,2
PM_000,MediaPipe,Multi-Person-Confusion,1
PM_002,MediaPipe,Confidence-Collapse,1
PM_002,MediaPipe,Keypoint-Displacement,1
PM_002,MediaPipe,Multi-Person-Confusion,1
PM_002,YOLOv8,Confidence-Collapse,4
PM_002,YOLOv8,Missing-Detection,3
PM_003,MediaPipe,Keypoint-Displacement,69
PM_003,MediaPipe,Missing-Detection,4
PM_003,MediaPipe,Multi-Person-Confusion,27
PM_004,MediaPipe,Keypoint-Displacement,37
PM_004,MediaPipe,Missing-Detection,2
PM_004,MediaPipe,Multi-Person-Confusion,3
PM_004,YOLOv8,Confidence-Collapse,2
PM_005,MediaPipe,Keypoint-Displacement,19
PM_005,MediaPipe,Missing-Detection,1
PM_005,MediaPipe,Multi-Person-Confusion,5
PM_005,MoveNet,Keypoint-Displacement,21
PM_005,MoveNet,Multi-Person-Confusion,6
PM_005,YOLOv8,Confidence-Collapse,1
PM_005,YOLOv8,Keypoint-Displacement,21
PM_005,YOLOv8,Missing-Detection,1
PM_005,YOLOv8,Multi-Person-Confusion,6
PM_008,MediaPipe,Confidence-Collapse,12
PM_008,MediaPipe,Keypoint-Displacement,29
PM_008,MediaPipe,Missing-Detection,2
PM_008,MoveNet,Confidence-Collapse,4
PM_008,MoveNet,Missing-Detection,1
PM_008,YOLOv8,Confidence-Collapse,8
PM_008,YOLOv8,Missing-Detection,6
PM_010,MediaPipe,Confidence-Collapse,8
PM_010,MediaPipe,Keypoint-Displacement,301
PM_010,MediaPipe,Missing-Detection,4
PM_010,MediaPipe,Multi-Person-Confusion,16
PM_010,MoveNet,Confidence-Collapse,15
PM_010,MoveNet,Keypoint-Displacement,244
PM_010,MoveNet,Missing-Detection,34
PM_010,YOLOv8,Keypoint-Displacement,263
PM_011,MediaPipe,Confidence-Collapse,2
PM_011,MediaPipe,Keypoint-Displacement,49
PM_011,MoveNet,Confidence-Collapse,13
PM_011,MoveNet,Keypoint-Displacement,68
PM_011,YOLOv8,Confidence-Collapse,3
PM_011,YOLOv8,Keypoint-Displacement,81
PM_012,MediaPipe,Confidence-Collapse,2
PM_012,MediaPipe,Keypoint-Displacement,4
PM_012,MediaPipe,Missing-Detection,1
PM_012,MoveNet,Missing-Detection,28
PM_012,YOLOv8,Confidence-Collapse,56
PM_012,YOLOv8,Missing-Detection,2
PM_013,MediaPipe,Confidence-Collapse,3
PM_013,MediaPipe,Keypoint-Displacement,8
PM_013,MediaPipe,Missing-Detection,12
PM_013,MediaPipe,Multi-Person-Confusion,25
PM_013,MoveNet,Confidence-Collapse,6
PM_013,MoveNet,Missing-Detection,4
PM_013,YOLOv8,Confidence-Collapse,13
PM_013,YOLOv8,Missing-Detection,2
PM_014,MediaPipe,Confidence-Collapse,18
PM_014,MediaPipe,Keypoint-Displacement,77
PM_014,MediaPipe,Missing-Detection,21
PM_014,MediaPipe,Multi-Person-Confusion,10
PM_014,MoveNet,Confidence-Collapse,56
PM_014,MoveNet,Missing-Detection,48
PM_014,YOLOv8,Confidence-Collapse,43
PM_014,YOLOv8,Keypoint-Displacement,8
PM_014,YOLOv8,Missing-Detection,4
PM_016,MediaPipe,Missing-Detection,3
PM_016,MoveNet,Missing-Detection,2
PM_016,YOLOv8,Confidence-Collapse,3
PM_016,YOLOv8,Missing-Detection,3
PM_018,MoveNet,Confidence-Collapse,2
PM_020,MoveNet,Missing-Detection,3
PM_020,YOLOv8,Confidence-Collapse,3
PM_021,MediaPipe,Confidence-Collapse,10
PM_021,MediaPipe,Keypoint-Displacement,78
PM_021,MediaPipe,Missing-Detection,1
PM_021,MediaPipe,Multi-Person-Confusion,12
PM_021,MoveNet,Confidence-Collapse,68
PM_021,MoveNet,Missing-Detection,14
PM_021,YOLOv8,Confidence-Collapse,7
