exercise,model,n_pairs,mean_jitter,median_jitter
Ex1,MediaPipe,24368,4.2225788299123925,2.5364347599616988
Ex1,MoveNet,24402,2.0112366552336636,1.4929236975827078
Ex1,YOLOv8,23011,3.486035601875999,1.5709572865352772
Ex2,MediaPipe,30551,5.972691751541736,3.0296814400911583
Ex2,MoveNet,30523,2.390255836868334,1.6356878475180563
Ex2,YOLOv8,30002,3.6347174353155376,2.119510018778704
Ex3,MediaPipe,13053,7.364990581101295,3.651991517957537
Ex3,MoveNet,13012,5.81948621541932,3.032923602191959
Ex3,YOLOv8,13029,6.265182898824466,3.3369804490226147
Ex4,MediaPipe,18601,4.960680254805668,3.092974447440409
Ex4,MoveNet,18507,3.8887317281640232,2.4181842457385856
Ex4,YOLOv8,18138,5.5515130702365685,2.6840496358195995
Ex5,MediaPipe,15410,7.75191248828872,4.4089910994755686
Ex5,MoveNet,15296,5.348670164158281,3.6625290536849495
Ex5,YOLOv8,14618,7.7811391958547285,4.397481419797387
Ex6,MediaPipe,19988,7.127146615783373,4.514486899168701
Ex6,MoveNet,19912,5.609148279966083,3.662475868356459
Ex6,YOLOv8,19462,6.811992607284199,4.2385672445469105
