exercise,model,n,mean_nmpjpe,median_nmpjpe,std_nmpjpe
Ex1,MediaPipe,24346,12.1206055864945,11.437690053748367,5.205550997460269
Ex1,MoveNet,24414,9.952614436103987,9.750041645658817,2.4720481016860183
Ex1,YOLOv8,22856,10.568546598059227,10.284230702817371,3.186479183138565
Ex2,MediaPipe,30198,11.657879375904384,10.694484496798514,5.841132675219458
Ex2,MoveNet,30395,9.001458968151233,8.657702761261184,3.526053645898182
Ex2,YOLOv8,29901,11.066958262970036,10.257578545120335,4.4509689300503394
Ex3,MediaPipe,11812,14.907329316289191,12.950061074635633,8.63212293161284
Ex3,MoveNet,11586,13.799764835412047,12.702713562683067,6.367228271048722
Ex3,YOLOv8,11561,16.725254792686265,15.018161290391353,8.253667837041471
Ex4,MediaPipe,18522,12.318256124106803,11.270291742999827,5.403660932214619
Ex4,MoveNet,18361,11.387179543583715,10.46781627300769,5.228776955174168
Ex4,YOLOv8,17882,13.616954514059227,11.749799841214108,7.542051676736888
Ex5,MediaPipe,15263,14.125856516249039,10.887772441776947,12.676505662808163
Ex5,MoveNet,15209,11.426482314972748,10.070017548245742,6.791378165614983
Ex5,YOLOv8,14491,16.237989887568823,12.918972146351296,10.796871490464634
Ex6,MediaPipe,19588,11.894920798539362,11.319225907723876,3.5445677884437776
Ex6,MoveNet,19474,10.102065517591518,9.726887853310473,2.8768416356583577
Ex6,YOLOv8,19020,12.227011578370284,11.378997003522471,4.254383053948458
