patient_id,video_id,exercise,camera,model,video_median_nmpjpe
1,PM_000,Ex1,c17,MediaPipe,10.59407254787626
1,PM_000,Ex1,c17,MoveNet,7.462566304596262
1,PM_000,Ex1,c17,YOLOv8,8.459521489262672
1,PM_000,Ex1,c18,MediaPipe,14.183397190562212
1,PM_000,Ex1,c18,MoveNet,10.37439212474233
1,PM_000,Ex1,c18,YOLOv8,12.21199164787557
1,PM_001,Ex1,c17,MediaPipe,10.387647625895468
1,PM_001,Ex1,c17,MoveNet,7.544090749461045
1,PM_001,Ex1,c17,YOLOv8,8.265952326091995
1,PM_001,Ex1,c18,MediaPipe,13.262417765943514
1,PM_001,Ex1,c18,MoveNet,10.595051898238449
1,PM_001,Ex1,c18,YOLOv8,10.730815263087443
1,PM_002,Ex1,c17,MediaPipe,13.095449968600049
1,PM_002,Ex1,c17,MoveNet,10.760959716988708
1,PM_002,Ex1,c17,YOLOv8,11.362750676127412
1,PM_002,Ex1,c18,MediaPipe,10.083419725993778
1,PM_002,Ex1,c18,MoveNet,9.318243149025665
1,PM_002,Ex1,c18,YOLOv8,9.481535472018361
1,PM_003,Ex2,c17,MediaPipe,9.781014400199112
1,PM_003,Ex2,c17,MoveNet,6.279195221352095
1,PM_003,Ex2,c17,YOLOv8,7.60603888419068
1,PM_003,Ex2,c18,MediaPipe,11.628827716098527
1,PM_003,Ex2,c18,MoveNet,8.56826205727305
1,PM_003,Ex2,c18,YOLOv8,11.842777611751533
1,PM_004,Ex2,c17,MediaPipe,12.552674447955782
1,PM_004,Ex2,c17,MoveNet,9.737969535135454
1,PM_004,Ex2,c17,YOLOv8,12.110268774968365
1,PM_004,Ex2,c18,MediaPipe,9.467731293279874
1,PM_004,Ex2,c18,MoveNet,9.369022561318044
1,PM_004,Ex2,c18,YOLOv8,10.02649838684512
1,PM_005,Ex4,c17,MediaPipe,9.521119088165388
1,PM_005,Ex4,c17,MoveNet,9.138673107583934
1,PM_005,Ex4,c17,YOLOv8,8.908744304428174
1,PM_005,Ex4,c18,MediaPipe,12.70857252840739
1,PM_005,Ex4,c18,MoveNet,10.527140592250486
1,PM_005,Ex4,c18,YOLOv8,11.920365133508374
1,PM_006,Ex4,c17,MediaPipe,17.239447691155654
1,PM_006,Ex4,c17,MoveNet,10.40059205818389
1,PM_006,Ex4,c17,YOLOv8,13.585094216947692
1,PM_006,Ex4,c18,MediaPipe,10.251447114526389
1,PM_006,Ex4,c18,MoveNet,9.089642395386994
1,PM_006,Ex4,c18,YOLOv8,10.099755999274084
1,PM_008,Ex6,c17,MediaPipe,10.748477590469372
1,PM_008,Ex6,c17,MoveNet,8.754033513356754
1,PM_008,Ex6,c17,YOLOv8,9.714656913783296
1,PM_008,Ex6,c18,MediaPipe,11.229356877106758
1,PM_008,Ex6,c18,MoveNet,9.983447454288552
1,PM_008,Ex6,c18,YOLOv8,10.518576097387449
1,PM_010,Ex3,c17,MediaPipe,13.52746243714896
